,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★½,could never happen to dunkaccino,3,0.0,1.0,0.0,0.0
1,★★★½,"The MTV Movie Awards should have created a ""best tired as hell performance"" category just for Al Pacino",3,0.261,0.418,0.321,0.1779
2,★★★★,oh mr nolan how very david fincher of you!,4,0.0,1.0,0.0,0.0
3,★★★★,I am very impressed by both Al Pacino and Robin Williams. Both of these gentlemen give great performances in this entertaining thriller! I didn't know Robin Williams had a performance like this in him. I'm surprised I hadn't seen this Nolan film sooner.,4,0.0,0.661,0.339,0.9429
4,★★★,"""Can't sleep...clown'll eat me."" -- Al Pacino",3,0.0,1.0,0.0,0.0
5,★★★★,Ugh yessss I love it when men do dumb things,4,0.374,0.368,0.258,-0.2263
6,★★★,"wildly engaging, painfully predictable",3,0.436,0.256,0.308,-0.25
7,★★★★,*Fingers crossed I love Interstellar on rewatch as much as I loved it the first time.,4,0.0,0.597,0.403,0.8442
8,★★★,Look for the next installment in Oeuvre-view: Christopher Nolan on Friday's Filmspotting.,3,0.0,1.0,0.0,0.0
9,★★★½,Honestly wish and hope Christopher Nolan makes another movie like this,3,0.0,0.387,0.613,0.8779
10,★★★★,8/10,4,0.0,1.0,0.0,0.0
11,★★★½,"I fell asleep twice during ""Insomnia"", which is pretty funny when I think about it.",3,0.0,0.643,0.357,0.7269
12,★★★★½,is a really smart and riveting psychological drama. Nolan's most underrated film that really keeps your attention and keeps you on your toes.,4,0.0,0.875,0.125,0.4576
13,★★★½,7.8 / 10,3,0.0,1.0,0.0,0.0
14,★★★½,"And yes, Pacino is great in this, but man, Robin Williams just elevates this film to a whole different level. For someone whose presence in films has often made my heart warm, he *really* made my skin crawl here. Goes to show just how much versatility he had as an actor. Rest in peace, man. You rocked.",3,0.0,0.819,0.181,0.8885
15,★★★½,Insomnia,3,0.0,1.0,0.0,0.0
16,★★★½,what no sleep does to a mf,3,0.306,0.694,0.0,-0.296
17,★★★★,". Or ""The Three I's"", as I call them. An unofficial trilogy of Pacino Prestige. Coincidentally, Nolan also has a ""Three I's"" trilogy. These guys and their rare-title-letter classics.",4,0.0,1.0,0.0,0.0
18,★★★½,"I struggle to fault this film, yet it still manages to give me Insomnia",3,0.312,0.688,0.0,-0.6124
19,★★★,"Still good though, entertaining throughout, Pachino killed it as always, Hillary Swank was also really good.",3,0.179,0.476,0.345,0.4939
20,★★★★,This happens when you don't give Al Pacino that thing what he wants for like 6 straight days!,4,0.0,0.762,0.238,0.5707
21,★★★★,79%,4,0.0,1.0,0.0,0.0
22,★★★★,Yes it can. Great thriller that deserves more praise.,4,0.0,0.293,0.707,0.902
23,★★★★,E) Hilary Swank is that girl.,4,0.0,1.0,0.0,0.0
24,★★★★,"Probably thought of as Nolan's weakest film, this is still a cut above most other thrillers. The acting is superb. Pacino is really good here (though the scars from Jack and Jill still haven't healed) and Williams gives one of his finest dramatic performances.",4,0.104,0.73,0.167,0.5059
25,★★★★,Honestly wish Nolan had to be a gun for hire on a couple more thrillers before getting thrown into the Batman mix. Just one or two.,4,0.081,0.678,0.24,0.5709
26,★★★★,"""This guy, he crossed the line and he didn't even blink. You don't come back from that.""",4,0.0,1.0,0.0,0.0
27,★★★★½,I really enjoyed this film. This isn't like Nolan's usual work but it's strong. I like his subtle approach. All the acting is top notch especially from Pacino & Williams. I loved when they shared the screen together. My favorite aspect from this film is the script. I loved loved loved the story. Very unique & I wish I thought of it myself. I think this is an underrated film from Nolan's filmography.,4,0.043,0.533,0.424,0.9913
28,★★★½,"Definitely the least Nolan that Nolan has ever Nolaned; I dug it! Worth watching for Pacino & Williams alone, otherwise a fairly standard crime thriller with a psychological edge & focus on character that I appreciated, plus some twisty turny stuff that was unpredictable & kept me engaged. Editing has its moments but kinda sucked throughout, & the end felt a little too neatly wrapped up. Still quite good; tense, great use of location, & another entry in the unintentional ACAB canon, which is always welcome.",3,0.109,0.632,0.259,0.9323
