,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★,A Christopher Nolan movie where people swear and have sex? This is madness,3,0.291,0.709,0.0,-0.4767
1,★★★,following on yt,3,0.0,1.0,0.0,0.0
2,★★★,Christopher Nolan Ranked,3,0.0,1.0,0.0,0.0
3,★★★★,"Short and sweet, twisty little film that shows a lot of that early Nolan love of non-linear. Lot's of ideas here that later become more solidified in Memento, but still holds it's own. Much like ""Pi"" the black and white makes the low budget feel a little more stylish.",4,0.05,0.804,0.147,0.6369
4,★★,"what a surprise, a film made by christopher nolan would turn out to be mediocre bullshit",2,0.212,0.67,0.117,-0.4019
5,★★★½,i was not expecting to like this anywhere near as much as i did. nolan really showed what he could do from the start.,3,0.091,0.909,0.0,-0.2755
6,★★★,Low Budget extravaganza.,3,0.512,0.488,0.0,-0.2732
7,★★★½,https://t.co/IUu4IrLXhm,3,0.0,1.0,0.0,0.0
8,★★★★★,That's saying a lot.,5,0.0,1.0,0.0,0.0
9,★★★,www.larsenonfilm.com/following,3,0.0,1.0,0.0,0.0
10,★★★,", Christopher Nolan embarked on his most ambitious effort yet...making me bored! And he certainly delivered...the man doesn't miss!",3,0.088,0.585,0.327,0.6928
11,★★★★,8/10,4,0.0,1.0,0.0,0.0
12,★★★,6.0 / 10,3,0.0,1.0,0.0,0.0
13,★★★,as if i needed more reason to not trust anyone!!!! thanks christopher nolan,3,0.386,0.614,0.0,-0.7412
14,★★★½,"This Nolan kid has got a lot of potential, I'm curious to see what he'll do next. Maybe he should hit up Hollywood and see if he'll get any luck there.",3,0.0,0.841,0.159,0.6486
15,★★★,A mediocre movie? Directed by Christopher Nolan? No...,3,0.0,1.0,0.0,0.0
16,★★½,why is this on criterion lmao,2,0.0,0.562,0.438,0.5994
17,★★★★½,90/100,4,0.0,1.0,0.0,0.0
18,★★★★,"For a low budget indie, Nolan showcases his skills as a director right off the bat. Such an Intriguing movie that should inspire future filmmakers for decades to come",4,0.068,0.812,0.12,0.3818
19,★★★½,so here we are.,3,0.0,1.0,0.0,0.0
20,★★★★½,"Overall, I very much enjoyed Following with a clever story and excellent performances. Cheerio!",4,0.0,0.385,0.615,0.9148
21,★★★,"may not be Christopher Nolan's most refined film, but it's surely one of his most unique.",3,0.0,0.796,0.204,0.5927
22,★★★,"So cool to see this early Nolan film and realize how much he was able to build on these ideas and narrative style! It's not perfect by any means, but it's exactly what you would expect his first feature (film on just $6000!!) to be like.",3,0.039,0.844,0.116,0.6025
23,★★★★,"Super easy to recommend, especially to Nolan fans who still haven't seen it.",4,0.0,0.518,0.482,0.8519
24,★★★½,is a great caper stretched a little long despite its short length.,3,0.0,0.687,0.313,0.6249
25,★★★,"It's exactly what you'd expect from 1) Nolan 2) as a first time director. It definitely works better looking back on his career, after works like Memento and The Prestige which really solidified Nolan in his twisty style so that when watching Following we appreciate it because it's Nolan even if it's not always great.",3,0.052,0.777,0.171,0.7584
26,★★★★,Fantastic Debut from Nolan.,4,0.0,0.455,0.545,0.5574
27,★★★★,Please return to your roots and make a small-scale mystery thriller again!,4,0.0,0.693,0.307,0.4574
28,★★★★½,Score: 9/10,4,0.0,1.0,0.0,0.0
29,★★★½,literally every problem in this could have been avoided if they followed the golden rule of never trusting straight men,3,0.361,0.639,0.0,-0.792
30,★★★★,remains internally consistent and relies on nothing more than good storytelling to deliver its knockout blow. An engrossing debut.,4,0.127,0.873,0.0,-0.3843
31,★½,"A vaguely interesting starter project totally blindsided by amateur writing. I promise this isn't interesting enough for exposition dumps, Chris. It's perhaps most interesting because of how many hats Nolan was wearing for the debut, giving it at least that spark that comes from one person realizing a concept. I'm shocked the average rating is as high as it is, more shocked this dull clunker is somehow in the Criterion Collection? Very strange!",1,0.148,0.679,0.173,0.2834
32,★★★,"thank you Nolum, very cool!",3,0.0,0.358,0.642,0.6581
33,★★★★,"OH, AND ONE MORE THING: you will meet another Family member from the Nolan branch.",4,0.0,1.0,0.0,0.0
34,★★★★,"Walau budgetnya minim, dan sinematografinya menggunakan konsep hitam putih, namun ketika dibuat oleh sutradara sekelas Christopher Nolan, tentunya hasilnya berkelas,dan jauh dari kata murahan.",4,0.0,1.0,0.0,0.0
35,★★★★,"Nolan's debut is a low budget neo noir with shades of Hitchcock. Some of his best known films have great plot twists,this movie has one which is hard to predict. There is an ambiguity to certain scenes which just makes it quite intriguing. A great start to a wonderful career.",4,0.057,0.648,0.295,0.9493
36,★★½,Interesting concept that loses it's steam roughly 10 minutes in and never manages to catch back up again for the rest of the runtime,2,0.085,0.815,0.1,0.1027
37,★★★,". It's pretty cool to see what Nolan can do with a small budget and such a short runtime. Some of the violent scenes are a bit silly and the acting isn't that good, but it's still a pretty well-written film that definitely wouldn't hurt to check out.",3,0.075,0.631,0.294,0.9034
38,★★★★,I love this. such an interesting story and I love how it unravels.,4,0.0,0.419,0.581,0.9022
39,★★★½,Nolan Ranked,3,0.0,1.0,0.0,0.0
40,★★★★,This was the only Nolan's film that I was missing.,4,0.216,0.784,0.0,-0.296
41,★★★★,"Technical issues aside (although this is unsurprising given its $6,000 budget), Following is a compelling and extremely well-crafted dramatic neo-noir crime thriller that also serves as a strong directorial debut from writer and director Christopher Nolan.",4,0.087,0.748,0.165,0.2732
42,★★★,worth a watch for film genealogists who like tracing an auteur's obsessions back to their... inception...,3,0.104,0.656,0.24,0.3612
43,★★★,Queue The Plan by Travis Scott,3,0.0,1.0,0.0,0.0
44,★★★½,nolan never fails to astonish me,3,0.0,0.682,0.318,0.3252
45,★★★½,Would recommend.,3,0.0,0.286,0.714,0.3612
46,★★★,"Flawed on a technical level (some editing and choreography issues), and the acting isn't the greatest, but overall a good, promising directorial debut from Christopher Nolan. If this were the first Nolan movie I had watched, I would've been curious to see what he does next.",3,0.043,0.752,0.205,0.8468
47,★★★½,"Definitely a bit slow at points and the restrained budget does hold Nolan back from making something truly special, but this is still a solid debut that is way better than it has any right to be. It has an interesting premise as well as solid performances and solid direction from Nolan. It's nothing substantial but it does show hints of Nolan's greatness that's to come.",3,0.024,0.699,0.277,0.9478
48,★★★★,Thank you.,4,0.0,0.286,0.714,0.3612
49,★★★½,Hmm... this Nolan kid's got potential. I wonder what he'll do next. He should try his luck at Hollywood,3,0.0,0.85,0.15,0.4588
50,★★½,"But I appreciate the artistry and how well it's made for its budget. It's a film that shows promise but again, the leap between this and Nolan's sophomore effort is HUGE.",2,0.0,0.733,0.267,0.7964
51,★★★½,Had plenty of potential but fell short in some areas.,3,0.0,1.0,0.0,0.0
52,★★★★,"4. Stalking is bad, kids.",4,0.467,0.533,0.0,-0.5423
53,★★★★½,This movie is a near masterpiece. I do not understand why it is so lowly rated. Maybe I'm just crazy.,4,0.208,0.622,0.17,0.0216
54,★★★,completely tolerable proto-Nolan,3,0.0,1.0,0.0,0.0
55,★★★★,Ok this movie is actually underrated. We really get to see how nolan started all of his ideas in his movies and it's interesting to see them in this type of story. I like how it takes the crime genre and flips it on it's head at the end. The cinematography actually is decent as well as the performances yeah sure the violence is laughably bad but this movie is actually good.,4,0.085,0.727,0.187,0.6597
56,★★★★½,"And with that, I've now seen every Christopher Nolan movie. I don't know what took me so long to finally watch this, because I've always known about it, but just never found the time to watch it. I have to say this movie is pretty amazing. Sure it's low budget, but it's pretty awesome. The performances are great and the writing in this movie takes it to a different level. The music was awesome too. Didn't sound like anything I had heard before. Everything great about Nolan is in this movie, so he really knew what he wanted even at his first feature.",4,0.04,0.666,0.294,0.9906
57,★★★,I think the most interesting aspect of this is seeing the promise of what is to come later in his career.,3,0.0,0.773,0.227,0.6478
