,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★★½,Sometimes you just gotta ruin your life to own the other guy so hard,4.5,0.321,0.679,0.0,-0.6875
1,★★★★,when the prank war just goes too damn far :(,4.0,0.576,0.424,0.0,-0.8591
2,★★★★½,"Second unexpected Radiohead in the credits moment THIS WEEK, i need a break",4.5,0.0,0.8,0.2,0.3612
3,★★★★★,"Forget ""The Dark Knight"". Forget ""The Dark Knight Rises"". Forget even ""Inception"". This film matches the levels of greatness that ""Memento"", my favorite Nolan film, manages to reach, and it does it without telling the story backwards. This is dark, mysterious, captivating, intelligent, and is easily one of Nolan's most under rated films so far.",5.0,0.09,0.759,0.15,0.5859
4,★★★★,nolan: *dj khaled voice* ANOTHER ONE!!!!,4.0,0.0,1.0,0.0,0.0
5,★★★★½,magic isn't real you idiots,4.5,0.0,1.0,0.0,0.0
6,★½,white male gets tricked into thinking,1.5,0.242,0.758,0.0,-0.1531
7,★★★★★,me: shook,5.0,0.583,0.417,0.0,-0.1027
8,★★★★½,christian bale be like: how about a magic trick? i'm gonna make hugh jackman disappear,4.5,0.187,0.663,0.151,0.1027
9,★★★★½,thank you christopher nolan for making me look like boo boo the fool once again,4.5,0.146,0.603,0.251,0.2732
10,★★★½,when will hugh jackman make my virginity disappear,3.5,0.213,0.787,0.0,-0.2263
11,★★★★½,I'll be watching this again soon so I can review this properly and provide an in-depth analysis on the ending,4.5,0.0,1.0,0.0,0.0
12,★★★½,and i feel fine cause i got a nemesis,3.5,0.0,0.735,0.265,0.2023
13,★★★½,"did you really watch a chris nolan film for the first time if you didn't look up ""[christopher nolan film] ending explained"" immediately afterwards?",3.5,0.0,1.0,0.0,0.0
14,★★★★½,christian bale can abracadabra into my bed!,4.5,0.0,1.0,0.0,0.0
15,★★★★★,IM GONNA NEED ALL THOSE HATS TO COVER MY BURNT WIGLESS SCALP,5.0,0.0,1.0,0.0,0.0
16,★★★★½,the Nolan Manifesto.,4.5,0.0,1.0,0.0,0.0
17,★★★★★,FUCK,5.0,1.0,0.0,0.0,-0.5423
18,★★★½,it's gay as fuck to be rivals... why are you so obsessed with another man?,3.5,0.306,0.694,0.0,-0.6948
19,★★★★½,ABRACADABRA!!!!!!!!!!!!!!! I JUST!!!! NOLAN YOU GENIUS!!!!!!!,4.5,0.0,1.0,0.0,0.0
20,★★★★★,One of the greatest films I've ever seen. Period. It's Nolan's best by far. I'm so in shock by how exhilarating and delightful it was that I can't even organize my thoughts.,5.0,0.066,0.594,0.34,0.9189
21,★★★★½,hugh: FUCK!!!!,4.5,0.0,1.0,0.0,0.0
22,★★★★,i was watching closely and here's what i saw - angier and borden were most definitely gay and were most definitely almost always making out before they became enemies and had to repress their secret gay feelings for each other,4.0,0.126,0.74,0.134,0.0992
23,★★★★½,and see how far that takes him in his career,4.5,0.0,1.0,0.0,0.0
24,★★★★½,I miss when you could understand what the characters in a Christopher Nolan film are saying,4.5,0.11,0.89,0.0,-0.1531
