,Rating,Comments,overall,negative,neutral,positive,compound
0,★★★★,hans zimmer: TICK TOCK MOTHERFUCKER,4.0,0.571,0.429,0.0,-0.7456
1,★★★,"so thank you, harry styles.",3.0,0.0,0.589,0.411,0.4201
2,★★★,chris nolan: actually can I have 100 more of these dark-haired british twinks?,3.0,0.0,1.0,0.0,0.0
3,★★★★★,harry styles and the mysterious ticking noise,5.0,0.0,1.0,0.0,0.0
4,★★★★,its ok christopher you can admit you just wanted harry styles running around a beach with 3 other white teenagers to recreate your world war 2 fanfiction of the thats what makes you beautiful video,4.0,0.098,0.704,0.198,0.4588
5,★★★,"i thought i got away with watching this on my laptop instead of imax but as soon as the credits started rolling, christopher nolan physically manifested in my room and started poking me in the left eye while yelling about the sanctity of the theatrical experience",3.0,0.0,0.93,0.07,0.5023
6,★★★★★,shook,5.0,1.0,0.0,0.0,-0.1027
7,★★★★½,Me: OH MY FUCKING GOD,4.5,0.0,0.509,0.491,0.5939
8,★★★★½,wow! my favorite part was *incomprehensible british mumbling*,4.5,0.0,0.458,0.542,0.7959
9,★★★★★,harry ate the FUCK out of that toast!!!!!,5.0,0.436,0.564,0.0,-0.7507
10,★★★★,i didn't understand a damn word these white men were saying half the time but you know what ! masterpiece!!,4.0,0.0,0.648,0.352,0.8464
11,★★,"The first 20 minutes or so is the best thing Nolan has ever accomplished. The rest is a formal experiment I find so meaningless, dull and empty that I felt completely alienated from everything on the screen.",2.0,0.19,0.646,0.164,-0.0402
12,★★★★★,"3rd time seeing this, 3rd time wishing i was dead, 3rd time crying.",5.0,0.404,0.492,0.104,-0.7579
13,★★★½,"While it does feel like a movie I should like because everyone else likes it, I still really like it. AMAZINGLY shot and great performances all around. I have nothing to say that hasn't already been said about it.",3.5,0.0,0.662,0.338,0.9363
14,★★★★½,i am incredibly surprised by my ability to spot harry styles in a crowd of white men,4.5,0.0,0.743,0.257,0.5413
15,★★★★½,tick tick tick tick tick tick tick tick,4.5,0.0,1.0,0.0,0.0
16,★★★★½,"damn, great scene.",4.5,0.346,0.128,0.526,0.34
17,★★★★,The theatrical experience is officially DEAD.,4.0,0.502,0.498,0.0,-0.7213
18,★★★★★,"filmed in glorious 70mm, with 'dunkirk,' christopher nolan shows us distinctly just how tiny kenneth branagh's lips are",5.0,0.0,0.802,0.198,0.6369
19,★★,"After an hour and a half I was like, ""This is the longest trailer I've ever seen.""",2.0,0.0,0.848,0.152,0.3612
20,★★★★½,the new three act.,4.5,0.0,1.0,0.0,0.0
21,★★★½,"((Plus the week really doesn't seem like a week, does it? More like two or three days. I'd suggest the structure is unnecessary were it not for Cillian Murphy's brief but superlatively disorienting appearance in ""The Mole.""))",3.5,0.09,0.91,0.0,-0.3343
22,★★★★,harry was a bit of a prick wasn't he,4.0,0.286,0.714,0.0,-0.34
23,★★★½,would love to understand one someday,3.5,0.0,0.543,0.457,0.6369
24,★★★★★,click here to hear/see the gushing,5.0,0.0,1.0,0.0,0.0
25,★★★★½,"my dad only gave this four stars & when i asked him what caused that whole star subtraction he stared mistily into space for a minute before he said thoughtfully, ""the boats ... the boats were too clean. not enough shitboxes"" and ya know i can't fault him on that! your move chris",4.5,0.0,0.853,0.147,0.7876
26,★★★,imagine being a harry styles fan and being excited that your fave is gonna be in his first ever movie and it's a nolan movie at that and you go to the cinema after months of anticipation you buy your ticket and then it ends and you realize all your fave did was eat some bread,3.0,0.0,0.805,0.195,0.872
27,★★★★,nolan knows that tom hardy's lips are the source of his power so ever since 2010 he's insisted on covering them up,4.0,0.0,1.0,0.0,0.0
28,★★★,fine lines,3.0,0.0,0.357,0.643,0.2023
29,★★★★½,"I have mixed feelings about taking my WWII vet grandfather, who is in his 90s, to this. The visceral intensity was distressing for him, and he also was frustrated at having to watch a WWII movie about fleeing and failure. Of course this is also what I think makes the film brave and brilliant.",4.5,0.15,0.735,0.115,-0.296
30,★★★★★,"in the middle my dad leaned in and asked me ""is that henry style""",5.0,0.0,1.0,0.0,0.0
31,★★★★½,"(fucking amazing film, again)",4.5,0.0,0.441,0.559,0.5859
32,★★★★★,love the part where the beach twinks are hiding in the ship waiting for the tide to come in and then the ting go skrrra pap pap ka ka ka skibidi pap pap & a pu pu drrr boom SKIAA,5.0,0.143,0.762,0.094,-0.0516
33,★★★★½,"u know what im not even surprised my thirsty ass developed a crush on barry keoghan and his weird ass face, i sensed there was an underlying thirsty reason behind my sudden irrational desperate desire to watch dunkirk and when barry and his sleeveless gap sweater flashed on my laptop screen at 1pm on this fated thursday afternoon I Knew",4.5,0.247,0.713,0.04,-0.8993
34,★★★★,"who knew nolan had something this stripped down and elemental in him? ""old bloke wouldn't even look us in the eye.""",4.0,0.0,1.0,0.0,0.0
35,★★★★,the sweaters in this are so on point it's kind of like a really intense J Crew ad,4.0,0.0,0.787,0.213,0.4215
36,★★★★½,knows how to do is immerse you into his films giving you the full theater experience no matter where your watching it.,4.5,0.089,0.769,0.142,0.0772
37,★½,", home is where the heart is. Maybe by the time Nolan makes his space western, the truth will set him free.",1.5,0.0,0.772,0.228,0.6808
38,★★★½,"oh, whoa, whoa-oh",3.5,0.0,1.0,0.0,0.0
39,★★★★★,"I honestly don't know what to say. Everything everybody said about this was right on the money. Gorgeous, grueling, tense, visceral, gut-wrenching, haunting, powerful, fucking loud. There's about 3 minutes of peace before the tension starts, and it does not let up at any point in the movie from then on. Every aspect of this movie was done so well, it's astounding. Absolutely see it in IMAX 70mm if you can.",5.0,0.079,0.698,0.222,0.9232
40,★★★★½,: ...no,4.5,0.0,1.0,0.0,0.0
41,★★★★★,"I was going to make a joke about how pretty all those boys were but a film this good doesn't deserve that. This is incredible. Nolan's talent is unrivalled. I cannot put into words how good this was or how well it was made, just... wow",5.0,0.0,0.589,0.411,0.976
42,★★★★½,the ideal way to see this is in IMAX but I almost went deaf just seeing it in regular theaters... Nolan trying to kill me... Also I can't believe it's 2017 and 1D is still getting my coins smh,4.5,0.208,0.744,0.048,-0.8519
43,★★★½,i watched this in imax while drinking a large tim hortons iced capp and i came VERY close to dying,3.5,0.0,1.0,0.0,0.0
44,½,"vain british chauvinism coupled with nolan's usual sweatshop approach to visual design. this is nothing more than an obtuse and literally deafening exercise in conservative revisionist history and bludgeoning the viewer into submission through sheer force of sound mixing. almost an immaterial narrative, there's nothing of emotional content here, it's a series of unremarkable vignettes that are all spectacularly boring in their own unique ways. nolan is the winston churchill of filmmaking: a stubborn fascist who's managed to bully his way into convincing people that he's a noble genius.",0.0,0.181,0.763,0.056,-0.8896
45,★★★★★,www.larsenonfilm.com/dunkirk,5.0,0.0,1.0,0.0,0.0
46,★★★★★,"i don't even know what to say, this is a masterpiece y'all.....christopher nolan did THAT",5.0,0.0,0.745,0.255,0.6249
47,★★★★★,"Checked this out at my local IMAX theater. It really might be Christopher Nolan's masterpiece, at least from a technical standpoint. And it's also the one film that feels the least Nolan-like. The Hans Zimmer score is intense as hell. And the dogfight scenes with the spitfire planes are absolutely exhilarating and breathtaking. It's a gorgeous looking war film that ranks as one of the best contemporary WW2 films along with Saving Private Ryan and The Thin Red Line.",5.0,0.087,0.709,0.204,0.8849
48,★★★★★,my heart was beating at 300 bpm for 100 minutes,5.0,0.25,0.75,0.0,-0.4588
49,★★★★,"were the casting requirements for everyone in this movie just ""have a good facial bone structure""",4.0,0.0,0.828,0.172,0.4404
50,★★★★½,Watched again because Harry Styles,4.5,0.0,1.0,0.0,0.0
51,★★★★★,"""No more questions Shivering Soldier""",5.0,0.355,0.645,0.0,-0.296
